NSEcode,BSEcode,ISIN,full_name,industry_name,industry_id,sector_name,sector_id,TL_SCORE
SUNSHIEL,530845,INE199E01014,Sunshield Chemicals Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,61.456945277777776937000453472137451171875
HIPOLIN,530853,INE963A01011,Hipolin Ltd.,Personal Products,97,FMCG,7,
CHEMBOND,530871,INE995D01025,Chembond Chemicals Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,73.2780563888888849533032043837010860443115234375
BHILTEX,530879,INE345H01016,Capital India Finance Ltd.,Finance (including NBFCs),44,Banking and Finance,21,65.9947213888888910560126532800495624542236328125
CENPORT,530881,INE485K01014,Arunjyoti Bio Ventures Ltd.,Commodity Trading  & Distribution,24,Commercial Services & Supplies,25,
SUCROSA,530883,INE366G01022,Super Crop Safe Ltd.,Agrochemicals,5,Chemicals & Petrochemicals,2,51.1077769444444385271708597429096698760986328125
NGIND,530897,INE825C01018,N G Industries Ltd.,Healthcare Facilities,51,Diversified Consumer Services,15,
ASIAPAK,530899,INE784M01016,Asia Pack Ltd.,Realty,103,Realty,18,
ERPSOFT,530909,INE308B01017,ERP Soft Systems Ltd.,IT Consulting & Software,70,Software & Services,1,
RRSECUR,530917,INE474H01014,RR Securities Ltd.,Other Financial Services,87,Banking and Finance,21,
RAMSONS,530925,INE609D01014,Ramsons Projects Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
EUROASIA,530929,INE535P01015,Euro Asia Exports Ltd.,Commodity Trading  & Distribution,24,Commercial Services & Supplies,25,
STANPACK,530931,INE457D01018,Stanpacks (India) Ltd.,Containers & Packaging,30,Commercial Services & Supplies,25,
RAMINFO,530951,INE357B01022,Ram Info Ltd.,IT Consulting & Software,70,Software & Services,1,54.882223055555556356921442784368991851806640625
SUNILAGR,530953,INE224D01012,Sunil Agro Foods Ltd.,Other Agricultural Products,84,Food Beverages & Tobacco,4,
DIANATEA,530959,INE012E01035,Diana Tea Company Ltd.,Tea & Coffee,114,Food Beverages & Tobacco,4,58.584166666666675382657558657228946685791015625
ALFAICA,530973,INE042C01010,Alfa Ica (India) Ltd.,Furniture-Furnishing-Paints,49,Diversified Consumer Services,15,
KATWAUD,530977,INE260E01014,Shri Keshav Cements & Infra Ltd.,Cement & Cement Products,18,Cement and Construction ,26,61.1724991666666682021968881599605083465576171875
INDIAHOME,530979,INE274E01015,India Home Loan Ltd.,Housing Finance ,60,Banking and Finance,21,
JPTSEC,530985,INE630C01012,JPT Securities Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
ROOPAIND,530991,INE443C01010,Roopa Industries Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,40.78750083333333265045439475215971469879150390625
UNIQUEO,530997,INE333E01019,Unique Organics Ltd.,Other Agricultural Products,84,Food Beverages & Tobacco,4,80.0691675000000060435922932811081409454345703125
SWRNASE,531003,INE595G01018,Swarna Securities Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
ARISE,531017,INE190D01015,Arihants Securities Ltd.,Investment Companies,67,Others,14,
VISAGAR,531025,INE309H01038,Visagar Financial Services Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
LIBORD,531027,INE267E01019,Libord Securities Ltd.,Other Financial Services,87,Banking and Finance,21,
BHATEXT,531029,INE201N01019,Bharat Textiles & Proofing Industries Ltd.,Commodity Trading  & Distribution,24,Commercial Services & Supplies,25,
TOBUENT,531035,INE432F01024,Eraaya Lifespaces Ltd.,Hotels,56,Hotels Restaurants & Tourism,30,42.491111944444440950974239967763423919677734375
COMPEAU,531041,INE823B01015,Competent Automobiles Co Ltd.,Commodity Trading  & Distribution,24,Commercial Services & Supplies,25,50.52027694444443994825633126311004161834716796875
ZDHJERK,531043,INE239F01015,Dhanvantri Jeevan Rekha Ltd.,Healthcare Facilities,51,Diversified Consumer Services,15,
NEELKAN,531049,INE741D01015,Neelkanth Rock-Minerals Ltd.,Construction Materials,27,Cement and Construction ,26,
VINTAGES,531051,INE153C01015,Vintage Securities Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
CONTILI,531067,INE080G01011,Contil India Ltd.,Packaged Foods,95,FMCG,7,60.502499166666666496894322335720062255859375
VIJSOLX,531069,INE362D01010,Vijay Solvex Ltd.,Edible Oils,37,FMCG,7,61.25166666666667225626952131278812885284423828125
SHRIKRISH,531080,INE997I01012,Shri Krishna Devcon Ltd.,Realty,103,Realty,18,
